ticker	nome	segmento	tipoGestao	cotacao	patrimonioLiquido	vpPorCota	ultimoRendimento	p_vp	negociacoesDiarias	ultimoDividendYield	dividendYieldL52W_media	dividendYieldL52W_mediana	dividendYieldL52W_desvioPadrao	dividendYieldL52W_coefVariacao	dividendYieldL52W_tamAmostra	dividendYieldL52W_dataRefMaisRecente
BLCA11	BLUEMACAW CATUAÍ TRIPLE A FDO DE INV IMOB	Lajes Corporativas	1.600.000	N/A	R$ 160,7 mi	R$ 100,46	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	1	Outubro/2021
BLCP11	BLUECAP RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO -FII	Outros	856.796	R$ 83,00	R$ 225,9 mi	R$ 98,37	-7,21%	0,84	2	0,66%	0,00590	0,00652	0,00172	0	15	Novembro/2021
BLMC11	BLUEMACAW CRÉDITO IMOBILIÁRIO - FDO. INV. IMOB.	Outros	100.000	R$ 99,60	R$ 40,3 mi	R$ 100,96	0,70%	0,99	5	1,21%	0,00735	0,00891	0,00427	0	9	Novembro/2021
BLMG11	BLUEMACAW LOGÍSTICA FDO. INVEST. IMOB.	Logística	1.900.000	R$ 93,50	R$ 369,5 mi	R$ 96,96	0,76%	0,96	8.477	0,95%	0,00873	0,00911	0,00126	0	10	Novembro/2021
BLMO11	BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.	Lajes Corporativas	3.797	R$ 26.004,50	R$ 99,1 mi	R$ 26.090,68	N/A	1,00	8	N/A	
BLMR11	BLUEMACAW RENDA + FOF FDO. INVEST. IMOB.	Títulos e Val. Mob.	2.554.163	R$ 7,68	R$ 208,6 mi	R$ 8,17	6,89%	0,94	58.169	1,05%	0,00798	0,00817	0,00138	0	11	Dezembro/2021
BMII11	FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO	Lajes Corporativas	14.000.000	N/A	R$ 69,8 mi	R$ 498,55	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	6	Agosto/2016
BMLC11	FDO INV IMOB BM BRASCAN LAJES CORPORATIVAS - FII	Lajes Corporativas	998.405	R$ 89,97	R$ 106,6 mi	R$ 106,73	-1,43%	0,84	31	0,78%	0,00641	0,00618	0,00084	0	71	Novembro/2021
BMLC11B	FDO INV IMOB BM BRASCAN LAJES CORPORATIVAS - FII	Lajes Corporativas	998.405	R$ 95,72	R$ 93,8 mi	R$ 93,97	0,79%	1,02	136	0,61%	0,00563	0,00568	0,00076	0	58	Outubro/2020
BNFS11	BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII	Outros	700.000	R$ 126,00	R$ 72,8 mi	R$ 104,05	5,90%	1,21	554	1,00%	0,00899	0,00892	0,00097	0	72	Dezembro/2021
BPFF11	FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS	Títulos e Val. Mob.	2.000.000	R$ 66,75	R$ 336 mi	R$ 74,79	18,34%	0,89	9.654	0,84%	0,00773	0,00740	0,00081	0	72	Dezembro/2021
BPML11	FDO INV IMOB BTG PACTUAL SHOPPINGS	Shoppings	4.000.000	R$ 74,90	R$ 573,2 mi	R$ 133,15	-6,86%	0,56	56	0,41%	0,00418	0,00442	0,00056	0	5	Outubro/2021
BRCO11	BRESCO LOGÍSTICA - FDO INV IMOB	Logística	12.566.391	R$ 99,00	R$ 1,8 bi	R$ 118,66	20,83%	0,83	32.917	0,61%	0,00540	0,00535	0,00064	0	24	Dezembro/2021
BRCR11	FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND	Híbrido	5.000	R$ 71,85	R$ 2,8 bi	R$ 106,18	7,34%	0,68	27.872	0,72%	0,00593	0,00569	0,00059	0	73	Outubro/2021
BREV11	BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB	Híbrido	622.742	R$ 95,55	R$ 101,7 mi	R$ 105,11	2,01%	0,91	32	0,57%	0,00485	0,00495	0,00113	0	17	Dezembro/2021
BRHT11B	FDO INV IMOB BR HOTEIS - FII	N/A	1.045.000	N/A	R$ 150,7 mi	R$ 81,84	N/A	N/A	N/A	N/A	nan	nan	nan	0	0	N/A
BRIP11	BRIO REAL ESTATE III FDO DE INVEST. IMOB.	Híbrido	300.000	R$ 1.020,43	R$ 116,5 mi	R$ 983,42	N/A	1,04	1	N/A	
BRLA11	FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II	Híbrido	450.000	R$ 143,98	R$ 240 mi	R$ 161,30	-0,68%	0,89	1.645	0,67%	0,00101	0,00000	0,00237	0	13	Novembro/2021
BROL11	BR PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO	N/A	5.500.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
BTAL11	FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA	Outros	5.982.736	R$ 97,86	R$ 616,1 mi	R$ 102,99	4,93%	0,95	4.312	0,85%	0,00678	0,00711	0,00180	0	9	Novembro/2021
BTCR11	FDO INV IMOB BTG PACTUAL CREDITO IMOBILIARIO	Títulos e Val. Mob.	680.000	R$ 92,00	R$ 476,2 mi	R$ 99,00	-1,22%	0,93	4.424	0,99%	0,00751	0,00751	0,00100	0	39	Novembro/2021
BTGM11	FDO INV IMOB - FII BTG PACTUAL MALLS	N/A	30.200	N/A	N/A	N/A	0,00%	N/A	N/A	N/A	nan	nan	nan	0	0	N/A
BTLG11	BTG PACTUAL LOGISTICA FDO INV IMOB - FII	Logística	3.384.501	R$ 104,12	R$ 1,5 bi	R$ 99,99	1,77%	1,04	39.233	0,69%	0,00614	0,00619	0,00064	0	72	Novembro/2021
BTRA11	FDO INV IMOB BTG PACTUAL TERRAS AGRÍCOLAS	Outros	3.364.559	R$ 98,00	R$ 336 mi	R$ 99,87	14,32%	0,98	6.929	0,93%	0,00555	0,00636	0,00341	0	6	Novembro/2021
BTSG11	BTSP I FDO. INVEST. IMOB - FII	Híbrido	745.000	N/A	R$ 75,5 mi	R$ 97,36	N/A	N/A	N/A	N/A	nan	nan	nan	0	0	N/A
BTWR11	BTOWERS FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Lajes Corporativas	46.428	R$ 106,40	R$ 87,7 mi	R$ 108,37	0,00%	0,98	13.539	0,00%	0,00023	0,00000	0,00053	0	6	Dezembro/2021
BVAR11	FDO INV IMOB BRASIL VAREJO - FII	Outros	625.540	N/A	R$ 674,2 mi	R$ 1.077,78	0,00%	N/A	N/A	0,00%	0,01428	0,00000	0,03499	0	7	Setembro/2016
BZLI11	BRAZIL REALTY FDO INV IMOB	Títulos e Val. Mob.	12.021.180	R$ 14,70	R$ 431,4 mi	R$ 10,91	0,68%	1,35	44.041	0,00%	0,00000	0,00000	0,00000	0	4	Março/2018
CACR11	CARTESIA RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVEST	Híbrido	1.514.227	R$ 109,64	R$ 153,8 mi	R$ 101,56	9,16%	1,08	2.514	1,43%	0,01084	0,01018	0,00218	0	18	Dezembro/2021
CARE11	BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII	Híbrido	415.700	R$ 2,22	R$ 284,9 mi	R$ 1,59	-2,41%	1,39	13.093	0,23%	0,00123	0,00212	0,00114	0	33	Agosto/2021
CBOP11	CASTELLO BRANCO OFFICE PARK FDO INV IMOB - FII	Lajes Corporativas	141.500	R$ 63,00	R$ 123,1 mi	R$ 86,98	7,44%	0,72	664	4,13%	0,01000	0,00681	0,00914	0	72	Dezembro/2021
CCRF11	CANVAS CRI - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	1.400.000	R$ 102,00	R$ 160,9 mi	R$ 102,38	1,08%	1,00	90	1,08%	0,00945	0,00945	0,00135	0	2	Novembro/2021
CEOC11	FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES	Lajes Corporativas	850.813	R$ 58,15	R$ 156,3 mi	R$ 86,10	-1,99%	0,68	594	0,83%	0,00689	0,00668	0,00067	0	71	Novembro/2021
CJCT11	CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO	Lajes Corporativas	2.710.000	R$ 69,00	R$ 185,9 mi	R$ 64,78	19,96%	1,07	66	0,61%	0,00125	0,00062	0,00221	0	36	Dezembro/2018
CNES11	FDO INV IMOB - FII CENESP	Lajes Corporativas	1.958.330	R$ 33,69	R$ 255,5 mi	R$ 86,63	-2,89%	0,39	83	0,37%	0,00283	0,00276	0,00099	0	71	Novembro/2021
CORM11	CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	2.500.000	R$ 100,00	R$ 85,4 mi	R$ 93,06	4,00%	1,07	86	1,01%	0,00877	0,01014	0,00359	0	7	Novembro/2021
CPFF11	CAPITÂNIA REIT FOF - FDO. INVEST. IMOB	Híbrido	2.400.000	R$ 69,76	R$ 412,8 mi	R$ 75,75	-4,02%	0,92	33.446	0,65%	0,00912	0,00942	0,00126	0	23	Novembro/2021
CPTS11	CAPITANIA SECURITIES II FDO INV IMOB - FII	Títulos e Val. Mob.	7.753.859	R$ 96,93	R$ 2,7 bi	R$ 94,74	0,94%	1,02	52.496	1,02%	0,01015	0,01011	0,00029	0	71	Novembro/2021
CRFF11	CAIXA RIO BRAVO FDO DE FDOS INV IMOB II	Títulos e Val. Mob.	690.040	R$ 67,45	R$ 56,2 mi	R$ 81,44	2,13%	0,83	93	0,75%	0,00588	0,00583	0,00062	0	32	Dezembro/2021
CTXT11	FDO INV IMOB CENTRO TEXTIL INTERNACIONAL	Lajes Corporativas	12.000.000	R$ 18,99	R$ 113,1 mi	R$ 43,60	-2,20%	0,44	1.339	0,39%	0,00479	0,00391	0,00265	0	66	Junho/2021
CVBI11	FDO INV. IMOB. VBI CRI	Títulos e Val. Mob.	3.526.841	R$ 102,77	R$ 991,1 mi	R$ 99,94	1,21%	1,03	41.281	1,11%	0,01112	0,01109	0,00270	0	27	Novembro/2021
CXAG11	FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS	N/A	20.906.210	N/A	R$ 209,1 mi	R$ 100,00	N/A	N/A	N/A	N/A	
CXCE11B	FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA CEDAE	Outros	68.518	R$ 44,70	R$ 139,4 mi	R$ 81,35	16,22%	0,55	581	0,82%	0,01048	0,01015	0,00293	0	72	Dezembro/2021
CXCO11	FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA IMÓVEIS CORPORATIVOS	Lajes Corporativas	10.000.000	R$ 79,89	R$ 394,3 mi	R$ 100,46	14,42%	0,80	1.063	0,80%	0,00714	0,00703	0,00093	0	9	Dezembro/2021
CXRI11	CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII	Híbrido	157.576	R$ 66,00	R$ 129,7 mi	R$ 82,34	1,40%	0,80	61	0,80%	0,00601	0,00600	0,00081	0	72	Dezembro/2021
CXTL11	FDO INV IMOB CAIXA TRX LOGÍSTICA RENDA	Logística	53.597	R$ 309,96	R$ 33,8 mi	R$ 629,76	-7,42%	0,49	1	0,25%	0,00365	0,00208	0,00433	0	67	Dezembro/2021
CYCR11	CYRELA CRÉDITO - FUNDO DE INVESTIMENTO IMOBILIÁRIO	N/A	530.000	R$ 105,00	R$ 50,2 mi	R$ 94,68	1,69%	1,11	14	1,69%	0,01690	0,01690	0,00000	0	1	Dezembro/2021
DEVA11	DEVANT RECEBÍVEIS IMOBILIÁRIOS FDO. INVEST. IMOB.	Títulos e Val. Mob.	10.947.069	R$ 102,22	R$ 1,3 bi	R$ 96,67	-1,23%	1,06	89.320	1,42%	0,01387	0,01316	0,00359	0	13	Novembro/2021
DMAC11	MAC FDO INV IMOB	Residencial	156.108	R$ 13,00	R$ 778.257,9	R$ 4,99	4,85%	2,61	2.543	36,32%	0,03541	0,00786	0,09463	0	32	Abril/2021
DOMC11	REAG RENDA IMOBILIARIA FDO INV IMOB - FII	Lajes Corporativas	175.000	R$ 439,00	R$ 271 mi	R$ 110,90	4,35%	3,96	42	0,00%	0,00000	0,00000	0,00000	0	34	Outubro/2018
DOVL11B	DOVEL FDO INV IMOB	N/A	58.489	R$ 931,32	R$ 71 mi	R$ 1.140,75	N/A	0,82	44	N/A	nan	nan	nan	0	0	N/A
DRIT11B	MULTIGESTÃO RENDA COMERCIAL FDO INV IMOB - FII	Lajes Corporativas	20.000	R$ 89,87	R$ 60,8 mi	R$ 131,18	6,07%	0,69	12	0,28%	0,00284	0,00250	0,00069	0	63	Maio/2021
DVFF11	FDO. INVEST. IMOB. DEVANT FOF IMOBILIÁRIOS	Híbrido	1.100.950	R$ 95,69	R$ 103 mi	R$ 93,57	2,18%	1,02	15	0,95%	0,00928	0,00928	0,00024	0	2	Novembro/2021
EDFO11B	FDO INV IMOB EDIFÍCIO OURINVEST	Lajes Corporativas	236.000	R$ 220,01	R$ 50,1 mi	R$ 212,34	-3,33%	1,04	31	0,71%	0,00583	0,00553	0,00070	0	72	Dezembro/2021
EDGA11	FDO INV IMOB - FII EDIFÍCIO GALERIA	Lajes Corporativas	3.812.055	R$ 22,25	R$ 300,1 mi	R$ 78,74	-3,54%	0,28	1.035	0,42%	0,00530	0,00514	0,00217	0	70	Novembro/2021
EGYR11	ENERGY RESORT FDO. INVEST. IMOB.	Outros	29.768.263	R$ 1,59	R$ 93,2 mi	R$ 12,47	N/A	0,13	4.556	N/A	
ELDO11B	FDO INV IMOB - FII ELDORADO	Shoppings	769.708	N/A	R$ 1,1 bi	R$ 1.343,43	0,00%	N/A	N/A	0,00%	0,00185	0,00000	0,00320	0	4	Abril/2016
EQIA11	NCH EQI RECEBÍVEIS DO AGRONEGÓCIO FIAGRO IMOB	Títulos e Val. Mob.	401.743	R$ 101,78	R$ 38,3 mi	R$ 95,44	N/A	1,07	84	N/A	
EQIN11	FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS	Títulos e Val. Mob.	1.441.970	R$ 94,42	R$ 138,3 mi	R$ 95,89	1,49%	0,98	5.078	1,15%	0,01004	0,00964	0,00197	0	23	Novembro/2021
EQIR11	EQI RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO FII	Títulos e Val. Mob.	502.500	R$ 100,00	R$ 51,2 mi	R$ 101,87	N/A	0,98	1	N/A	nan	nan	nan	0	0	N/A
ERCR11	ESTOQUE RESIDENCIAL E COMERCIAL RJ FDO INV IMOB	Híbrido	2.376	R$ 76.000,00	R$ 177,3 mi	R$ 74.622,39	0,00%	1,02	1	0,00%	0,00197	0,00000	0,00419	0	11	Dezembro/2021
ERPA11	EUROPA 105 - FDO INV IMOB	N/A	496.110	R$ 130,00	R$ 53 mi	R$ 106,76	N/A	1,22	1	N/A	
EURO11	FDO INV IMOB EUROPAR	Logística	440.000	R$ 203,00	R$ 109 mi	R$ 283,92	7,83%	0,71	77	0,83%	0,00763	0,00697	0,00223	0	72	Dezembro/2021
EVBI11	VBI CONSUMO ESSEN FDO. INVEST. IMOB.	Híbrido	1.082.460	R$ 95,50	R$ 109,8 mi	R$ 101,47	-1,28%	0,94	5	0,78%	0,00646	0,00641	0,00050	0	10	Novembro/2021
FAED11	FDO INV IMOB - FII ANHANGUERA EDUCACIONAL	Outros	518.007	R$ 144,40	R$ 137,4 mi	R$ 213,98	9,20%	0,67	137	0,78%	0,00717	0,00708	0,00064	0	71	Novembro/2021
FAMB11B	FDO INV IMOB - FII EDIFÍCIO ALMIRANTE BARROSO	Lajes Corporativas	104.800	R$ 995,05	R$ 360,4 mi	R$ 3.439,07	-47,51%	0,29	1	0,56%	0,00873	0,00842	0,00140	0	57	Outubro/2020
FATN11	FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I	Híbrido	652.752	R$ 98,45	R$ 81,3 mi	R$ 100,21	-3,64%	0,98	3	0,80%	0,00674	0,00667	0,00055	0	23	Dezembro/2021
FCAS11	FDO INV IMOB - FII EDIFÍCIO CASTELO	Lajes Corporativas	1.327.300	N/A	R$ 80,7 mi	R$ 60,79	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	4	Abril/2016
FCFL11	FDO INV IMOB - FII CAMPUS FARIA LIMA	Outros	167.000	R$ 111,50	R$ 352,5 mi	R$ 101,48	2,02%	1,10	12.347	0,75%	0,00601	0,00582	0,00094	0	71	Novembro/2021
FEXC11	FDO INV IMOB - FII BTG PACTUAL FUNDO DE CRI	Títulos e Val. Mob.	6.103.509	R$ 89,40	R$ 576 mi	R$ 94,37	-1,83%	0,95	12.687	1,10%	0,00834	0,00790	0,00163	0	71	Novembro/2021
FFCI11	FDO INV IMOB RIO BRAVO RENDA CORPORATIVA	Lajes Corporativas	38.810.000	R$ 182,03	R$ 373,2 mi	R$ 171,97	-0,33%	1,06	14.342	0,42%	0,00350	0,00329	0,00059	0	46	Outubro/2019
FIGS11	FDO INV IMOB GENERAL SHOPPING ATIVO E RENDA - FII	Shoppings	2.591.500	R$ 56,34	R$ 269 mi	R$ 94,40	17,19%	0,60	2.067	0,64%	0,00448	0,00470	0,00157	0	71	Dezembro/2021
FIIB11	FDO INV IMOB INDUSTRIAL DO BRASIL	Híbrido	664.516	R$ 450,43	R$ 303,5 mi	R$ 443,07	7,27%	1,02	496	0,80%	0,00665	0,00659	0,00087	0	71	Novembro/2021
FIIP11B	RB CAPITAL RENDA I FDO INV IMOB - FII	Logística	100	R$ 165,99	R$ 185,9 mi	R$ 200,47	11,52%	0,83	1.117	0,73%	0,00654	0,00645	0,00085	0	72	Dezembro/2021
FINF11	FDO INV IMOB INFRA REAL ESTATE - FII	Logística	666.420	N/A	R$ 91,3 mi	R$ 111,30	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	1	Setembro/2016
FISC11	FDO INV IMOB SC 401	Lajes Corporativas	1.576.580	R$ 165,00	R$ 253,3 mi	R$ 154,20	0,00%	1,07	200	0,00%	0,00000	0,00000	0,00000	0	8	Dezembro/2021
FIVN11	FDO INV IMOB VIDA NOVA - FII	Shoppings	9.412.630	R$ 3,08	R$ 64,5 mi	R$ 6,85	0,00%	0,45	19.723	0,00%	0,00000	0,00000	0,00000	0	13	Janeiro/2017
FLCR11	FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	500.000	R$ 102,00	R$ 50,1 mi	R$ 100,21	1,47%	1,02	2.272	1,57%	0,00901	0,01107	0,00597	0	7	Novembro/2021
FLMA11	FII CONTINENTAL SQUARE FARIA LIMA	Híbrido	69.033.500	R$ 120,37	R$ 215,2 mi	R$ 155,89	-1,66%	0,77	323	0,66%	0,00396	0,00381	0,00102	0	72	Dezembro/2021
FLRP11	FDO INV IMOB - FII FLORIPA SHOPPING	Shoppings	48.000	R$ 1.205,00	R$ 108,8 mi	R$ 1.667,55	1,85%	0,72	18	0,56%	0,00426	0,00434	0,00085	0	65	Novembro/2021
FMOF11	FDO INV IMOB MEMORIAL OFFICE	Lajes Corporativas	508.008	R$ 67,20	R$ 67 mi	R$ 131,83	22,40%	0,51	10	0,25%	0,00260	0,00263	0,00311	0	44	Dezembro/2019
FOFT11	CSHG TOP FOFII 2 FDO INV IMOB - FII	Títulos e Val. Mob.	119.604	R$ 123,00	R$ 125,6 mi	R$ 104,98	12,26%	1,17	5.663	1,54%	0,00784	0,00722	0,00268	0	28	Dezembro/2019
FPAB11	FDO INV IMOB PROJETO ÁGUA BRANCA	Lajes Corporativas	750.000	R$ 211,99	R$ 336,2 mi	R$ 448,30	2,73%	0,47	20	0,69%	0,00519	0,00493	0,00089	0	72	Dezembro/2021
FPNG11	FDO INV IMOB PEDRA NEGRA RENDA IMOB	Lajes Corporativas	1.200.000	R$ 64,98	R$ 165,4 mi	R$ 166,95	0,00%	0,39	84	0,00%	0,00000	0,00000	0,00000	0	3	Setembro/2016
FVBI11	FDO INV IMOB VBI FL 4440 - FII	Lajes Corporativas	2.150.000	R$ 159,71	R$ 0	R$ 0,00	18,78%	Inf	3.042	18,78%	0,01807	0,00407	0,04901	0	56	Agosto/2020
FVPQ11	FDO INV IMOB VIA PARQUE SHOPPING - FII	Shoppings	2.120.589	R$ 105,80	R$ 554,3 mi	R$ 197,97	1,90%	0,53	1.812	0,69%	0,00416	0,00370	0,00252	0	45	Dezembro/2021
GALG11	GUARDIAN LOGISTICA FDO. INVEST. IMOB.	Híbrido	5.613.031	R$ 100,00	R$ 576,1 mi	R$ 102,64	3,78%	0,97	2.530	0,82%	0,00779	0,00768	0,00037	0	15	Dezembro/2021
