ticker	nome	segmento	tipoGestao	cotacao	patrimonioLiquido	vpPorCota	ultimoRendimento	p_vp	negociacoesDiarias	ultimoDividendYield	dividendYieldL52W_media	dividendYieldL52W_mediana	dividendYieldL52W_desvioPadrao	dividendYieldL52W_coefVariacao	dividendYieldL52W_tamAmostra	dividendYieldL52W_dataRefMaisRecente
BCIA11	BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII	Títulos e Val. Mob.	820.115	R$ 85,21	R$ 388,2 mi	R$ 104,38	-3,51%	0,82	6.017	0,74%	0,00616	0,00625	0,00076	0	69	Setembro/2021
BCRI11	BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB FII	Títulos e Val. Mob.	500.000	R$ 108,70	R$ 662,2 mi	R$ 105,82	1,61%	1,03	13.655	1,01%	0,01007	0,01007	0,00178	0	69	Setembro/2021
BICR11	INTER TÍTULOS IMOB. FDO INV. IMOB.	Títulos e Val. Mob.	500.000	R$ 97,79	R$ 49,7 mi	R$ 99,30	-2,54%	0,98	10	0,59%	0,00313	0,00286	0,00106	0	22	Setembro/2021
BIME11	BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOB.	N/A	30.000.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
BLCP11	BLUECAP RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO -FII	Outros	856.796	R$ 82,20	R$ 196,7 mi	R$ 102,35	1,97%	0,80	2.235	0,47%	0,00622	0,00652	0,00089	0	13	Setembro/2021
BLMC11	BLUEMACAW CRÉDITO IMOBILIÁRIO - FDO. INV. IMOB.	Outros	100.000	R$ 98,00	R$ 40 mi	R$ 100,12	0,89%	0,98	9	1,05%	0,00621	0,00765	0,00418	0	7	Setembro/2021
BLMG11	BLUEMACAW LOGÍSTICA FDO. INVEST. IMOB.	Logística	1.900.000	R$ 95,67	R$ 388 mi	R$ 101,83	2,19%	0,94	7.634	0,92%	0,00855	0,00900	0,00134	0	8	Setembro/2021
BLMO11	BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.	Lajes Corporativas	3.797	R$ 26.004,50	R$ 98,4 mi	R$ 25.916,25	N/A	1,00	8	N/A	
BLMR11	BLUEMACAW RENDA + FOF FDO. INVEST. IMOB.	Títulos e Val. Mob.	2.554.163	R$ 7,48	R$ 225,5 mi	R$ 8,83	-89,94%	0,85	155.672	0,85%	0,00746	0,00798	0,00119	0	8	Setembro/2021
BMII11	FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO	Lajes Corporativas	14.000.000	N/A	R$ 68,8 mi	R$ 491,13	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	6	Agosto/2016
BMLC11	FDO INV IMOB BM BRASCAN LAJES CORPORATIVAS - FII	Lajes Corporativas	998.405	R$ 91,94	R$ 106,6 mi	R$ 106,76	-3,00%	0,86	503	0,67%	0,00622	0,00603	0,00073	0	69	Setembro/2021
BMLC11B	FDO INV IMOB BM BRASCAN LAJES CORPORATIVAS - FII	Lajes Corporativas	998.405	R$ 95,72	R$ 93,8 mi	R$ 93,97	0,79%	1,02	136	0,61%	0,00563	0,00568	0,00076	0	58	Outubro/2020
BNFS11	BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII	Outros	700.000	R$ 121,79	R$ 72,9 mi	R$ 104,12	-3,01%	1,17	285	0,84%	0,00833	0,00836	0,00058	0	69	Setembro/2021
BPFF11	FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS	Títulos e Val. Mob.	2.000.000	R$ 67,01	R$ 354,1 mi	R$ 78,82	-5,15%	0,85	8.790	0,80%	0,00705	0,00717	0,00057	0	69	Setembro/2021
BPML11	FDO INV IMOB BTG PACTUAL SHOPPINGS	Shoppings	4.000.000	R$ 81,01	R$ 571 mi	R$ 132,63	-2,76%	0,61	1.047	0,46%	0,00419	0,00449	0,00063	0	4	Agosto/2021
BRCO11	BRESCO LOGÍSTICA - FDO INV IMOB	Logística	12.566.391	R$ 98,70	R$ 1,6 bi	R$ 108,53	-2,92%	0,91	62.633	0,58%	0,00496	0,00484	0,00042	0	21	Setembro/2021
BRCR11	FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND	Híbrido	5.000	R$ 70,38	R$ 2,9 bi	R$ 107,27	-1,43%	0,66	62.700	0,64%	0,00562	0,00551	0,00037	0	71	Agosto/2021
BREV11	BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB	Híbrido	622.742	R$ 89,31	R$ 101,7 mi	R$ 105,13	-11,02%	0,85	21	0,58%	0,00442	0,00421	0,00112	0	14	Setembro/2021
BRHT11B	FDO INV IMOB BR HOTEIS - FII	N/A	1.045.000	N/A	R$ 151,1 mi	R$ 82,04	N/A	N/A	N/A	N/A	nan	nan	nan	0	0	N/A
BRIP11	BRIO REAL ESTATE III FDO DE INVEST. IMOB.	Híbrido	300.000	R$ 1.015,35	R$ 116,8 mi	R$ 986,07	N/A	1,03	1	N/A	
BRLA11	FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II	Híbrido	450.000	N/A	R$ 240,1 mi	R$ 161,37	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	11	Setembro/2021
BROL11	BR PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO	N/A	5.500.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
BTAL11	FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA	Outros	5.982.736	R$ 96,02	R$ 612,3 mi	R$ 102,35	8,94%	0,94	14.319	0,80%	0,00626	0,00657	0,00170	0	7	Setembro/2021
BTCR11	FDO INV IMOB BTG PACTUAL CREDITO IMOBILIARIO	Títulos e Val. Mob.	680.000	R$ 91,20	R$ 469,6 mi	R$ 97,64	0,80%	0,93	5.784	0,80%	0,00684	0,00700	0,00106	0	37	Setembro/2021
BTGM11	FDO INV IMOB - FII BTG PACTUAL MALLS	N/A	30.200	N/A	N/A	N/A	0,00%	N/A	N/A	N/A	nan	nan	nan	0	0	N/A
BTLG11	BTG PACTUAL LOGISTICA FDO INV IMOB - FII	Logística	3.384.501	R$ 106,75	R$ 1,5 bi	R$ 99,57	2,05%	1,07	48.548	0,67%	0,00591	0,00573	0,00057	0	70	Setembro/2021
BTRA11	FDO INV IMOB BTG PACTUAL TERRAS AGRÍCOLAS	Outros	3.364.559	R$ 89,50	R$ 336 mi	R$ 99,88	-3,16%	0,90	17.378	0,62%	0,00374	0,00420	0,00274	0	4	Setembro/2021
BTSG11	BTSP I FDO. INVEST. IMOB - FII	Híbrido	745.000	N/A	R$ 75,5 mi	R$ 97,44	N/A	N/A	N/A	N/A	
BTWR11	BTOWERS FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Lajes Corporativas	46.428	R$ 106,40	R$ 87,6 mi	R$ 108,29	0,00%	0,98	13.539	0,00%	0,00047	0,00000	0,00066	0	3	Setembro/2021
BVAR11	FDO INV IMOB BRASIL VAREJO - FII	Outros	625.540	N/A	R$ 624,1 mi	R$ 997,66	0,00%	N/A	N/A	0,00%	0,01428	0,00000	0,03499	0	7	Setembro/2016
BZLI11	BRAZIL REALTY FDO INV IMOB	Títulos e Val. Mob.	12.021.180	R$ 14,70	R$ 431,5 mi	R$ 11,03	0,68%	1,33	44.041	0,00%	0,00000	0,00000	0,00000	0	4	Março/2018
CARE11	BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII	Híbrido	415.700	R$ 0,51	R$ 285,7 mi	R$ 1,60	-2,41%	0,32	382.654	0,23%	0,00123	0,00212	0,00114	0	33	Agosto/2021
CBOP11	CASTELLO BRANCO OFFICE PARK FDO INV IMOB - FII	Lajes Corporativas	141.500	R$ 63,89	R$ 131,9 mi	R$ 93,23	-8,27%	0,69	690	0,77%	0,00707	0,00667	0,00146	0	69	Setembro/2021
CCRF11	CANVAS CRI - FUNDO DE INVESTIMENTO IMOBILIÁRIO	N/A	1.400.000	N/A	R$ 157,9 mi	R$ 100,48	N/A	N/A	N/A	N/A	
CEOC11	FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES	Lajes Corporativas	850.813	R$ 62,18	R$ 156,6 mi	R$ 86,25	-3,63%	0,72	435	0,74%	0,00629	0,00651	0,00096	0	69	Setembro/2021
CJCT11	CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO	Lajes Corporativas	2.710.000	R$ 63,50	R$ 181,8 mi	R$ 67,10	19,96%	0,95	1.175	0,61%	0,00125	0,00062	0,00221	0	36	Dezembro/2018
CNES11	FDO INV IMOB - FII CENESP	Lajes Corporativas	1.958.330	R$ 38,89	R$ 257,2 mi	R$ 87,22	4,75%	0,45	322	0,28%	0,00290	0,00298	0,00105	0	69	Setembro/2021
CORM11	CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	2.500.000	R$ 102,87	R$ 87,4 mi	R$ 95,31	-0,96%	1,08	20	1,03%	0,00808	0,01010	0,00405	0	5	Setembro/2021
CPFF11	CAPITÂNIA REIT FOF - FDO. INVEST. IMOB	Híbrido	2.400.000	R$ 76,17	R$ 427,6 mi	R$ 78,47	0,02%	0,97	9.987	0,91%	0,00918	0,00942	0,00114	0	21	Setembro/2021
CPTS11	CAPITANIA SECURITIES II FDO INV IMOB - FII	Títulos e Val. Mob.	7.753.859	R$ 98,14	R$ 2,4 bi	R$ 94,14	1,63%	1,04	87.622	1,00%	0,00983	0,01002	0,00085	0	69	Setembro/2021
CRFF11	CAIXA RIO BRAVO FDO DE FDOS INV IMOB II	Títulos e Val. Mob.	690.040	R$ 68,81	R$ 60,4 mi	R$ 87,49	-2,85%	0,79	108	0,58%	0,00556	0,00545	0,00049	0	29	Setembro/2021
CTXT11	FDO INV IMOB CENTRO TEXTIL INTERNACIONAL	Lajes Corporativas	12.000.000	R$ 20,80	R$ 123,2 mi	R$ 47,50	-2,20%	0,44	96	0,39%	0,00479	0,00391	0,00265	0	66	Junho/2021
CVBI11	FDO INV. IMOB. VBI CRI	Títulos e Val. Mob.	3.526.841	R$ 101,70	R$ 991 mi	R$ 99,93	1,32%	1,02	31.303	1,20%	0,01078	0,00981	0,00285	0	25	Setembro/2021
CXCE11B	FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA CEDAE	Outros	68.518	R$ 57,88	R$ 139,2 mi	R$ 81,27	14,22%	0,71	3.117	1,46%	0,01070	0,01015	0,00265	0	69	Setembro/2021
CXCO11	FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA IMÓVEIS CORPORATIVOS	Lajes Corporativas	10.000.000	R$ 90,80	R$ 393,9 mi	R$ 100,37	-3,07%	0,90	3.683	0,72%	0,00664	0,00677	0,00051	0	6	Setembro/2021
CXRI11	CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII	Híbrido	157.576	R$ 70,00	R$ 140,5 mi	R$ 89,17	-0,73%	0,79	599	0,62%	0,00542	0,00566	0,00075	0	69	Setembro/2021
CXTL11	FDO INV IMOB CAIXA TRX LOGÍSTICA RENDA	Logística	53.597	R$ 350,00	R$ 34 mi	R$ 635,29	-0,52%	0,55	61	0,21%	0,00386	0,00220	0,00429	0	64	Setembro/2021
DEVA11	DEVANT RECEBÍVEIS IMOBILIÁRIOS FDO. INVEST. IMOB.	Títulos e Val. Mob.	10.947.069	R$ 101,70	R$ 1,1 bi	R$ 98,20	1,16%	1,04	83.406	1,29%	0,01387	0,01287	0,00390	0	11	Setembro/2021
DMAC11	MAC FDO INV IMOB	Residencial	156.108	R$ 13,00	R$ 1,4 mi	R$ 8,75	4,85%	1,49	2.543	36,32%	0,03541	0,00786	0,09463	0	32	Abril/2021
DOMC11	REAG RENDA IMOBILIARIA FDO INV IMOB - FII	Lajes Corporativas	175.000	R$ 439,00	R$ 270,9 mi	R$ 110,86	4,35%	3,96	42	0,00%	0,00000	0,00000	0,00000	0	34	Outubro/2018
DOVL11B	DOVEL FDO INV IMOB	N/A	58.489	R$ 931,32	R$ 71,2 mi	R$ 1.142,79	N/A	0,81	44	N/A	nan	nan	nan	0	0	N/A
DRIT11B	MULTIGESTÃO RENDA COMERCIAL FDO INV IMOB - FII	Lajes Corporativas	20.000	R$ 100,00	R$ 60,8 mi	R$ 131,15	6,07%	0,76	3	0,28%	0,00284	0,00250	0,00069	0	63	Maio/2021
EDFO11B	FDO INV IMOB EDIFÍCIO OURINVEST	Lajes Corporativas	236.000	R$ 217,99	R$ 50,1 mi	R$ 212,29	2,58%	1,03	622	0,54%	0,00562	0,00553	0,00028	0	69	Setembro/2021
EDGA11	FDO INV IMOB - FII EDIFÍCIO GALERIA	Lajes Corporativas	3.812.055	R$ 24,44	R$ 300,3 mi	R$ 78,77	0,30%	0,31	6.080	0,54%	0,00507	0,00514	0,00232	0	68	Setembro/2021
EGYR11	ENERGY RESORT FDO. INVEST. IMOB.	Outros	29.768.263	N/A	R$ 93,2 mi	R$ 12,49	N/A	N/A	N/A	N/A	
ELDO11B	FDO INV IMOB - FII ELDORADO	Shoppings	769.708	N/A	R$ 973,2 mi	R$ 1.236,13	0,00%	N/A	N/A	0,00%	0,00185	0,00000	0,00320	0	4	Abril/2016
EQIN11	FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS	Títulos e Val. Mob.	1.441.970	R$ 93,70	R$ 135,8 mi	R$ 94,17	2,81%	0,99	10.077	0,94%	0,00882	0,00920	0,00247	0	21	Setembro/2021
EQIR11	EQI RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO FII	N/A	502.500	N/A	R$ 47,2 mi	R$ 99,79	N/A	N/A	N/A	N/A	
ERCR11	ESTOQUE RESIDENCIAL E COMERCIAL RJ FDO INV IMOB	Híbrido	2.376	R$ 73.900,00	R$ 180,4 mi	R$ 75.906,12	0,00%	0,97	482	0,00%	0,00241	0,00000	0,00452	0	9	Outubro/2021
ERPA11	EUROPA 105 - FDO INV IMOB	N/A	496.110	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
EURO11	FDO INV IMOB EUROPAR	Logística	440.000	R$ 204,73	R$ 109 mi	R$ 283,82	0,60%	0,72	1.735	0,75%	0,00660	0,00648	0,00280	0	69	Setembro/2021
EVBI11	VBI CONSUMO ESSEN FDO. INVEST. IMOB.	Híbrido	1.082.460	R$ 98,00	R$ 109,9 mi	R$ 101,55	-2,26%	0,97	14.395	0,66%	0,00625	0,00627	0,00023	0	7	Agosto/2021
FAED11	FDO INV IMOB - FII ANHANGUERA EDUCACIONAL	Outros	518.007	R$ 147,60	R$ 137,4 mi	R$ 213,96	-5,91%	0,69	375	0,80%	0,00686	0,00689	0,00063	0	69	Setembro/2021
FAMB11B	FDO INV IMOB - FII EDIFÍCIO ALMIRANTE BARROSO	Lajes Corporativas	104.800	R$ 1.031,00	R$ 362,4 mi	R$ 3.458,29	-47,51%	0,30	27	0,56%	0,00873	0,00842	0,00140	0	57	Outubro/2020
FATN11	FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I	Híbrido	652.752	R$ 101,80	R$ 81,2 mi	R$ 100,15	-0,44%	1,02	570	0,74%	0,00634	0,00650	0,00051	0	20	Setembro/2021
FCAS11	FDO INV IMOB - FII EDIFÍCIO CASTELO	Lajes Corporativas	1.327.300	N/A	R$ 80,7 mi	R$ 60,79	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	4	Abril/2016
FCFL11	FDO INV IMOB - FII CAMPUS FARIA LIMA	Outros	167.000	R$ 103,50	R$ 352,5 mi	R$ 101,46	-2,61%	1,02	1.592	0,68%	0,00558	0,00552	0,00081	0	69	Setembro/2021
FEXC11	FDO INV IMOB - FII BTG PACTUAL FUNDO DE CRI	Títulos e Val. Mob.	275.000	R$ 83,80	R$ 570,5 mi	R$ 93,47	-5,46%	0,90	5.826	0,89%	0,00748	0,00765	0,00181	0	69	Setembro/2021
FFCI11	FDO INV IMOB RIO BRAVO RENDA CORPORATIVA	Lajes Corporativas	38.810.000	R$ 182,03	R$ 373,2 mi	R$ 171,97	-0,33%	1,06	14.342	0,42%	0,00350	0,00329	0,00059	0	46	Outubro/2019
FIGS11	FDO INV IMOB GENERAL SHOPPING ATIVO E RENDA - FII	Shoppings	2.591.500	R$ 55,75	R$ 268,7 mi	R$ 94,30	-3,99%	0,59	2.605	0,54%	0,00374	0,00397	0,00140	0	68	Setembro/2021
FIIB11	FDO INV IMOB INDUSTRIAL DO BRASIL	Híbrido	664.516	R$ 465,00	R$ 303,1 mi	R$ 442,50	-0,41%	1,05	632	0,70%	0,00603	0,00615	0,00088	0	68	Agosto/2021
FIIP11B	RB CAPITAL RENDA I FDO INV IMOB - FII	Logística	100	R$ 181,52	R$ 185,6 mi	R$ 200,23	-3,13%	0,91	483	0,77%	0,00563	0,00570	0,00135	0	69	Setembro/2021
FINF11	FDO INV IMOB INFRA REAL ESTATE - FII	Logística	666.420	N/A	R$ 91,9 mi	R$ 112,04	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	1	Setembro/2016
FISC11	FDO INV IMOB SC 401	Lajes Corporativas	1.576.580	R$ 165,00	R$ 255,2 mi	R$ 155,36	0,00%	1,06	200	0,00%	0,00000	0,00000	0,00000	0	5	Setembro/2021
FIVN11	FDO INV IMOB VIDA NOVA - FII	Shoppings	9.412.630	R$ 2,35	R$ 64,6 mi	R$ 6,86	0,00%	0,34	4.238	0,00%	0,00000	0,00000	0,00000	0	13	Janeiro/2017
FLCR11	FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	500.000	R$ 102,00	R$ 50,4 mi	R$ 100,74	3,15%	1,01	2.681	1,29%	0,00672	0,00964	0,00559	0	5	Setembro/2021
FLMA11	FII CONTINENTAL SQUARE FARIA LIMA	Híbrido	69.033.500	R$ 131,40	R$ 214,9 mi	R$ 155,63	0,95%	0,84	791	0,44%	0,00336	0,00343	0,00080	0	69	Setembro/2021
FLRP11	FDO INV IMOB - FII FLORIPA SHOPPING	Shoppings	48.000	R$ 1.280,01	R$ 108,4 mi	R$ 1.662,53	1,22%	0,77	8	0,46%	0,00380	0,00390	0,00094	0	63	Setembro/2021
FMOF11	FDO INV IMOB MEMORIAL OFFICE	Lajes Corporativas	508.008	R$ 67,51	R$ 67 mi	R$ 131,87	22,40%	0,51	2	0,25%	0,00260	0,00263	0,00311	0	44	Dezembro/2019
FOFT11	CSHG TOP FOFII 2 FDO INV IMOB - FII	Títulos e Val. Mob.	119.604	R$ 123,00	R$ 125,6 mi	R$ 104,98	12,26%	1,17	5.663	1,54%	0,00784	0,00722	0,00268	0	28	Dezembro/2019
FPAB11	FDO INV IMOB PROJETO ÁGUA BRANCA	Lajes Corporativas	750.000	R$ 202,03	R$ 336 mi	R$ 448,03	-10,70%	0,45	63	0,55%	0,00526	0,00478	0,00168	0	69	Setembro/2021
FPNG11	FDO INV IMOB PEDRA NEGRA RENDA IMOB	Lajes Corporativas	1.200.000	R$ 100,00	R$ 165,3 mi	R$ 166,90	0,00%	0,60	10	0,00%	0,00000	0,00000	0,00000	0	3	Setembro/2016
FVBI11	FDO INV IMOB VBI FL 4440 - FII	Lajes Corporativas	2.150.000	R$ 159,71	R$ 0	R$ 0,00	18,78%	Inf	3.042	18,78%	0,01807	0,00407	0,04901	0	56	Agosto/2020
FVPQ11	FDO INV IMOB VIA PARQUE SHOPPING - FII	Shoppings	2.120.589	R$ 116,25	R$ 549,3 mi	R$ 196,17	0,41%	0,59	3.135	0,41%	0,00412	0,00409	0,00328	0	39	Setembro/2021
GALG11	GUARDIAN LOGISTICA FDO. INVEST. IMOB.	Híbrido	5.613.031	R$ 99,50	R$ 580,9 mi	R$ 103,49	-2,04%	0,96	47.334	0,82%	0,00733	0,00750	0,00075	0	12	Setembro/2021
GCFF11	GALAPAGOS FUNDO DE FUNDOS - FII FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	80.430	R$ 76,38	R$ 30,5 mi	R$ 90,17	-3,05%	0,85	644	0,86%	0,00810	0,00865	0,00271	0	13	Setembro/2021
GCRI11	GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	860.614	R$ 98,90	R$ 101,3 mi	R$ 101,26	0,88%	0,98	477	1,02%	0,00992	0,01008	0,00043	0	6	Setembro/2021
GESE11B	FUNDO DE INVESTIMENTO IMOBILIARIO GENERAL SEVERIANO	Outros	38.868	N/A	R$ 86,1 mi	R$ 1.656,51	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	2	Junho/2021
GGRC11	GGR COVEPI RENDA FDO INV IMOB	Logística	1.413.807	R$ 114,60	R$ 1 bi	R$ 133,97	1,37%	0,86	13.280	0,68%	0,00586	0,00550	0,00098	0	54	Setembro/2021
GLPL11	GLP LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO	N/A	10.719.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
GRLV11	CSHG GR LOUVEIRA FDO DE INV IMOB - FII	Logística	107.353	R$ 145,50	R$ 6,4 mi	R$ 5,97	0,00%	24,38	54.618	0,00%	0,03283	0,00532	0,09692	0	60	Dezembro/2020
GSFI11	GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI	Shoppings	68.482.196	R$ 4,30	R$ 907 mi	R$ 13,24	0,03%	0,32	19.053	0,03%	0,00028	0,00028	0,00000	0	1	Junho/2020
GTLG11	GTIS BRAZIL LOGISTICS FDO. INV. IMOB.	N/A	13.426.100	N/A	R$ 720,2 mi	R$ 100,40	N/A	N/A	N/A	N/A	nan	nan	nan	0	0	N/A
