ticker	nome	segmento	tipoGestao	cotacao	dataCotacao	min52W	max52W	volumeMedioDiarioL2M	valorMercado	numeroCotas	dataUltimoRelatorio	urlHistorico	ffoYield	dividendYield	p_vp	ffoPorCota	dyPorCota	vpPorCota	ativos	patrimonioLiquido	qtdImoveis	qtdUnidades	imoveisPorPatrimonioLiquido	area	aluguelPorM2	precoPorM2	capRate	vacanciaMedia	
BBVJ11	CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO	Lajes Corporativas	Passiva	62,99	05/11/2020	62,50	63,89	0	170.703.000	2.710.000	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BBVJ11&tipo=2	-1,71%	0,0%	0,94	-1,07	0,00	67,10	181.967.000	181.831.000	1	25	99,4%	24.790	198	6.843	2,9%	59,0%	
BCFF11	FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL FUNDO DE FUNDOS	Títulos e Val. Mob.	Ativa	70,33	22/10/2021	69,77	88,75	3.236.460	1.771.360.000	25.186.378	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=BCFF11&tipo=2	3,87%	8,7%	0,88	2,72	5,67	80,10	2.036.960.000	2.017.440.000	0	0	0,0%	0	-	-	-	-	
BCIA11	BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO - FII	Títulos e Val. Mob.	Ativa	85,21	22/10/2021	84,38	113,63	466.068	316.899.000	3.719.038	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BCIA11&tipo=2	6,31%	9,0%	0,82	5,37	7,68	104,38	390.959.000	388.189.000	0	0	0,0%	0	-	-	-	-	
BCRI11	BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO	Títulos e Val. Mob.	Ativa	108,70	22/10/2021	92,33	112,33	1.265.370	680.231.000	6.257.873	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=BCRI11&tipo=2	6,47%	12,6%	1,03	7,03	10,25	105,82	669.837.000	662.179.000	0	0	0,0%	0	-	-	-	-	
BICR11	INTER TITULOS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO	Títulos e Val. Mob.	Ativa	97,79	22/10/2021	80,85	101,49	1.080	48.895.000	500.000	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BICR11&tipo=2	4,63%	3,8%	0,98	4,52	3,75	99,30	49.951.900	49.652.000	0	0	0,0%	0	-	-	-	-	
BLCP11	BLUECAP RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO -FII	Logística	Ativa	82,20	22/10/2021	79,36	100,48	44.172	157.972.000	1.921.803	19/10/2021	https://fundamentus.com.br/fii_proventos.php?papel=BLCP11&tipo=2	5,30%	9,0%	0,80	4,36	6,24	102,35	231.275.000	196.695.000	2	5	113,5%	69.000	95	2.599	3,7%	44,9%	
BLMC11	BLUEMACAW CRÉDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	Ativa	98,00	19/10/2021	93,01	101,28	74.915	39.151.000	399.500	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BLMC11&tipo=2	1,48%	4,4%	0,98	1,45	5,24	100,12	40.564.700	39.999.100	0	0	0,0%	0	-	-	-	-	
BLMG11	BLUEMACAW LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO	Outros	Ativa	95,67	22/10/2021	92,99	103,44	881.511	364.559.000	3.810.588	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=BLMG11&tipo=2	1,52%	7,1%	0,94	1,45	7,96	101,83	486.863.000	388.041.000	1	1	73,7%	306.108	0	878	0,0%	10,0%	
BLMR11	BLUEMACAW RENDA+ FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	Ativa	7,48	22/10/2021	7,33	9,18	696.170	191.051.000	25.541.630	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BLMR11&tipo=2	3,00%	6,5%	0,85	0,22	1,08	8,83	228.464.000	225.460.000	0	0	0,0%	0	-	-	-	-	
BMLC11	FII BM BRASCAN LAJES CORPORATIVAS	Híbrido	Ativa	91,94	22/10/2021	80,84	94,00	10.348	91.793.400	998.405	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=BMLC11&tipo=2	7,39%	7,6%	0,86	6,79	6,95	106,76	109.230.000	106.592.000	2	25	98,7%	7.270	1.042	12.458	8,4%	0,0%	
BNFS11	BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII	Outros	Ativa	121,79	22/10/2021	111,55	124,95	49.247	85.253.000	700.000	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BNFS11&tipo=2	10,04%	10,2%	1,17	12,22	12,54	104,12	74.639.800	72.884.600	18	18	96,2%	10.293	942	7.970	11,8%	0,0%	
BPFF11	FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BRASIL PLURAL ABSOLUTO FUNDO DE FUNDOS	Outros	Ativa	67,01	22/10/2021	67,01	77,64	451.049	301.031.000	4.492.326	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BPFF11&tipo=2	10,21%	9,8%	0,85	6,84	6,64	78,82	357.849.000	354.102.000	0	0	0,0%	0	-	-	-	-	
BPML11	FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL SHOPPINGS	Shoppings	Passiva	81,01	22/10/2021	78,14	102,69	23.862	348.754.000	4.305.079	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BPML11&tipo=2	2,87%	2,4%	0,61	2,32	1,95	132,59	1.016.660.000	570.825.000	4	632	141,4%	113.440	314	4.347	7,2%	6,6%	
BPRP11	FUNDO DE INVESTIMENTO IMOBILIARIO - FII BRLPROP	Logística	Passiva	108,69	22/10/2021	97,99	121,95	8.895	146.714.000	1.349.837	-	https://fundamentus.com.br/fii_proventos.php?papel=BPRP11&tipo=2	8,51%	8,5%	1,01	9,25	9,36	108,00	146.927.000	145.786.000	1	1	99,9%	23.257	560	6.305	8,9%	0,0%	
BRCO11	BRESCO LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO	Logística	Ativa	98,70	22/10/2021	97,80	117,91	3.066.380	1.458.670.000	14.778.781	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BRCO11&tipo=2	6,25%	6,7%	0,91	6,17	6,53	108,53	1.616.020.000	1.603.960.000	11	11	98,1%	445.732	247	3.211	7,7%	6,6%	
BRCR11	FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL CORPORATE OFFICE FUND	Híbrido	Ativa	70,38	22/10/2021	70,38	86,67	2.177.930	1.874.800.000	26.638.202	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BRCR11&tipo=2	8,04%	8,0%	0,66	5,66	5,66	107,27	3.430.880.000	2.857.510.000	9	78	78,5%	124.272	1.227	11.840	10,4%	13,5%	
BREV11	BRAZIL REAL ESTATE VICTORY FUND I - FUNDO DE INVESTIMENTO IMOBILIARIO	Híbrido	Ativa	89,31	19/10/2021	89,31	118,64	7.009	86.380.700	967.201	31/05/2021	https://fundamentus.com.br/fii_proventos.php?papel=BREV11&tipo=2	4,56%	6,5%	0,85	4,07	5,64	105,13	102.575.000	101.686.000	14	21	94,3%	5.944	948	13.707	6,9%	17,9%	
BRIM11	BRIO REAL ESTATE II - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Residencial	Ativa	1.012,58	16/09/2021	944,32	1.163,01	3.085	125.699.000	124.137	-	https://fundamentus.com.br/fii_proventos.php?papel=BRIM11&tipo=2	-1,27%	0,0%	1,04	-12,83	0,00	975,18	132.754.000	121.056.000	6		46,6%	10.532	0	5.566	0,0%	0,0%	
BRLA11	FUNDO DE INVESTIMENTO IMOBILIÁRIO - BRL PROP II	Híbrido	Passiva	147,00	06/10/2021	147,00	158,50	13	218.741.000	1.488.031	-	https://fundamentus.com.br/fii_proventos.php?papel=BRLA11&tipo=2	3,25%	0,7%	0,91	4,78	9,05	161,37	242.690.000	240.126.000	3	3	98,9%	158.121	47	1.369	3,4%	0,0%	
BTAL11	FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA	Outros	Ativa	96,02	22/10/2021	89,83	101,76	855.513	574.462.000	5.982.736	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=BTAL11&tipo=2	2,24%	4,7%	0,94	2,15	4,51	101,74	694.824.000	608.702.000	9	9	66,2%	244.523	45	1.556	2,9%	0,0%	
BTCR11	FUNDO DE INVESTIMENTO IMOBILIARIO - BTG PACTUAL CREDITO IMOBILIARIO	Títulos e Val. Mob.	Ativa	91,20	22/10/2021	75,60	93,25	567.814	438.681.000	4.810.097	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BTCR11&tipo=2	5,88%	8,4%	0,93	5,37	7,75	97,64	476.119.000	469.639.000	0	0	0,0%	0	-	-	-	-	
BTLG11	BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	Ativa	106,75	22/10/2021	97,98	111,56	5.537.600	1.625.690.000	15.228.960	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=BTLG11&tipo=2	4,36%	7,3%	1,06	4,66	7,31	100,25	1.803.520.000	1.526.680.000	10	18	73,3%	232.647	166	5.120	3,2%	2,3%	
BTRA11	FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL TERRAS AGRÍCOLAS	Outros	Ativa	89,50	22/10/2021	87,24	97,84	685.235	301.128.000	3.364.559	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=BTRA11&tipo=2	0,00%	1,5%	0,90	0,00	1,36	99,88	368.930.000	336.056.000	0	0	50,0%	0	-	-	0,0%	-	
BTWR11	BTOWERS FUNDO DE INVESTIMENTO IMOBILIÁRIO	Lajes Corporativas	Passiva	106,40	13/08/2021	106,02	106,40	0	86.106.300	809.270	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=BTWR11&tipo=2	0,83%	1,0%	0,98	0,89	1,07	108,29	87.922.300	87.637.700	1	75	97,3%	19.747	181	4.243	4,3%	0,0%	
BVAR11	FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO	Outros	Passiva	100,01	14/01/2016	0,00	0,00	0	62.560.300	625.540	31/10/2016	https://fundamentus.com.br/fii_proventos.php?papel=BVAR11&tipo=2	74,49%	580,8%	0,10	74,50	221,97	997,66	625.257.000	624.075.000	70	70	95,4%	136.969	367	436	84,2%	2,1%	
CARE11	BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII	Híbrido	Ativa	0,51	22/10/2021	0,51	0,91	154.113	91.222.100	178.866.845	-	https://fundamentus.com.br/fii_proventos.php?papel=CARE11&tipo=2	-1,29%	2,3%	0,32	-0,01	0,01	1,60	286.216.000	285.664.000	2	1	24,3%	700	0	31.633	0,0%	0,0%	
CBOP11	CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII	Lajes Corporativas	Passiva	63,89	22/10/2021	61,95	74,01	54.533	90.404.400	1.415.000	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=CBOP11&tipo=2	10,31%	9,8%	0,69	6,59	6,29	93,23	132.737.000	131.914.000	1	30	96,2%	16.298	675	5.336	12,6%	10,4%	
CCRF11	CANVAS CRI - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	Ativa	99,50	18/10/2021	89,53	100,00	3.141	156.404.000	1.571.900	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=CCRF11&tipo=2	0,34%	1,6%	0,99	0,34	1,95	100,48	159.399.000	157.941.000	0	0	0,0%	0	-	-	-	-	
CEOC11	FUNDO DE INVESTIMENTO IMOBILIARIO - FII CEO CYRELA COMMERCIAL PROPERTIES	Lajes Corporativas	Passiva	62,18	22/10/2021	60,85	68,56	78.741	112.900.000	1.815.696	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=CEOC11&tipo=2	7,34%	8,6%	0,72	4,57	5,36	86,32	157.924.000	156.732.000	1	60	88,7%	11.942	772	8.385	9,2%	0,0%	
CNES11	FII CENESP	Lajes Corporativas	Passiva	38,89	22/10/2021	37,54	64,00	9.702	114.696.000	2.949.248	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=CNES11&tipo=2	4,28%	4,1%	0,45	1,66	1,62	87,24	259.511.000	257.291.000	1	21	92,0%	64.480	184	1.636	11,3%	55,7%	
CORM11	CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	Ativa	102,87	22/10/2021	95,09	108,29	11.099	94.363.100	917.304	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=CORM11&tipo=2	2,16%	5,2%	1,07	2,22	6,79	96,52	145.574.000	88.542.000	3	3	113,9%	13.012	169	8.258	2,1%	0,0%	
CPFF11	CAPITÂNIA REIT FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	Ativa	76,17	22/10/2021	69,31	80,87	947.919	302.682.000	3.973.771	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=CPFF11&tipo=2	2,34%	12,0%	0,97	1,79	9,21	78,26	326.105.000	310.995.000	0	0	0,0%	0	-	-	-	-	
CPTS11	CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII	Títulos e Val. Mob.	Ativa	98,14	22/10/2021	82,77	98,94	9.154.650	2.530.190.000	25.781.435	31/08/2021	https://fundamentus.com.br/fii_proventos.php?papel=CPTS11&tipo=2	0,61%	12,1%	1,03	0,60	9,26	94,92	2.556.460.000	2.447.170.000	0	0	0,0%	0	-	-	-	-	
CRFF11	CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II	Títulos e Val. Mob.	Ativa	68,81	22/10/2021	66,21	84,97	54.092	47.481.700	690.040	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=CRFF11&tipo=2	7,95%	7,5%	0,79	5,47	5,22	87,49	60.716.200	60.371.400	0	0	0,0%	0	-	-	-	-	
CTXT11	FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL	Lajes Corporativas	Passiva	20,80	22/10/2021	19,33	48,13	8.253	53.961.000	2.594.279	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=CTXT11&tipo=2	12,22%	6,1%	0,44	2,54	1,28	47,50	124.505.000	123.240.000	1	1	99,7%	45.714	226	1.177	19,2%	96,2%	
CVBI11	FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI CRI	Títulos e Val. Mob.	Ativa	101,70	22/10/2021	83,19	103,53	2.851.710	1.008.550.000	9.916.926	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=CVBI11&tipo=2	5,42%	13,3%	1,02	5,51	8,56	99,93	1.004.410.000	990.958.000	0	0	0,0%	0	-	-	-	-	
CXCE11B	FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA CEDAE	Lajes Corporativas	Passiva	57,88	22/10/2021	47,38	95,71	208.016	99.145.500	1.712.950	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=CXCE11B&tipo=2	19,49%	20,2%	0,71	11,28	10,88	81,15	141.091.000	139.011.000	1	1	95,6%	19.938	1.035	4.754	21,8%	0,0%	
CXCO11	FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA IMÓVEIS CORPORATIVOS	Lajes Corporativas	Ativa	90,80	22/10/2021	88,84	103,95	285.214	356.345.000	3.924.500	-	https://fundamentus.com.br/fii_proventos.php?papel=CXCO11&tipo=2	2,04%	4,3%	0,90	1,85	3,94	100,37	396.562.000	393.907.000	10	10	99,5%	91.730	91	3.864	2,4%	0,0%	
CXRI11	CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII	Títulos e Val. Mob.	Ativa	70,00	22/10/2021	70,00	151,42	39.003	110.303.000	1.575.760	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=CXRI11&tipo=2	8,98%	9,6%	0,79	6,29	6,75	89,17	141.368.000	140.507.000	0	0	0,0%	0	-	-	-	-	
CXTL11	FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA SEQ LOGISTICA RENDA	Logística	Passiva	350,00	22/10/2021	209,83	417,39	5.769	18.759.000	53.597	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=CXTL11&tipo=2	0,40%	24,1%	0,55	1,40	16,52	635,29	34.148.100	34.049.500	3	3	97,5%	18.872	138	969	14,3%	65,1%	
DEVA11	DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	Ativa	101,70	22/10/2021	77,02	109,28	6.937.400	1.113.320.000	10.947.069	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=DEVA11&tipo=2	4,47%	15,7%	1,04	4,54	11,36	98,20	1.077.260.000	1.075.040.000	0	0	0,0%	0	-	-	-	-	
DMAC11	MAC FUNDO DE INVESTIMENTO IMOBILIÁRIO	Residencial	Passiva	13,00	24/09/2021	4,51	19,53	13.518	2.029.400	156.108	30/11/2020	https://fundamentus.com.br/fii_proventos.php?papel=DMAC11&tipo=2	-743,53%	487,1%	1,49	-96,66	40,61	8,75	1.396.020	1.365.990	0	0	0,0%	0	-	-	-	-	
DOMC11	REAG MULTI ATIVOS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	Ativa	439,00	08/10/2020	0,00	0,00	0	1.072.830.000	2.443.800	-	https://fundamentus.com.br/fii_proventos.php?papel=DOMC11&tipo=2	0,28%	0,0%	3,96	1,22	0,00	110,86	275.571.000	270.931.000	1	114	88,9%	35.118	228	27.152	0,8%	36,2%	
DOVL11B	DOVEL FII	Lajes Corporativas	Ativa	931,32	15/03/2021	931,32	931,32	0	58.000.700	62.278	-	https://fundamentus.com.br/fii_proventos.php?papel=DOVL11B&tipo=2	-2,65%	0,9%	0,81	-24,69	8,09	1.142,79	71.734.500	71.170.700	2	17	96,6%	16.688	340	3.357	10,1%	63,8%	
DRIT11B	MULTIGESTÃO RENDA COMERCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII	Lajes Corporativas	Ativa	100,00	22/10/2021	98,96	140,13	1.107	46.327.700	463.277	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=DRIT11B&tipo=2	5,45%	4,2%	0,76	5,45	4,20	131,15	61.396.700	60.758.700	6	11	97,1%	5.725	712	7.854	9,1%	2,8%	
DVFF11	FUNDO DE INVESTIMENTO IMOBILIÁRIO - DEVANT FUNDO DE FUNDOS IMOBILIÁRIOS	Híbrido	Ativa	83,86	22/10/2021	81,00	99,21	64.791	92.325.700	1.100.950	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=DVFF11&tipo=2	0,67%	1,7%	0,91	0,57	1,40	92,19	102.736.000	101.498.000	0	0	0,0%	0	-	-	-	-	
EDFO11B	FII EDIFÍCIO OURINVEST	Lajes Corporativas	Passiva	217,99	22/10/2021	202,81	295,26	20.244	51.445.600	236.000	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=EDFO11B&tipo=2	9,82%	7,7%	1,03	21,42	16,92	212,29	50.485.900	50.101.200	1	1	99,5%	350	15.712	146.206	10,7%	0,0%	
